propertyName1,propertyName1_link,propertyName2,propertyName3
Apple iPhone 14 Plus (128 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-128GB-Purple/dp/B0BDJMSBXY?ref_=ast_sto_dp&th=1&psc=1,"80,999",315
Apple iPhone 14 Plus (256 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-256GB-Purple/dp/B0BDK63CBS?ref_=ast_sto_dp&th=1&psc=1,"90,999",315
Apple iPhone 14 Plus (512 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-512GB-Purple/dp/B0BDJ83Y4Z?ref_=ast_sto_dp&th=1&psc=1,"1,10,999",315
Apple iPhone 14 Plus (128 GB) - Starlight,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-128GB-Starlight/dp/B0BDJFTGK6?ref_=ast_sto_dp&th=1&psc=1,"80,999",315
Apple iPhone 14 Plus (256 GB) - Starlight,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1,"94,900",315
Apple iPhone 14 Plus (512 GB) - Starlight,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Plus-512GB-Starlight/dp/B0BDJ9ZX8L?ref_=ast_sto_dp&th=1&psc=1,"1,10,999",315
Apple iPhone 14 Pro (128 GB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-128GB-Deep-Purple/dp/B0BDJ6ZMCC?ref_=ast_sto_dp&th=1&psc=1,"1,22,999",313
Apple iPhone 14 Pro (1 TB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Deep-Purple/dp/B0BDK64JGN?ref_=ast_sto_dp&th=1&psc=1,"1,72,999",313
Apple iPhone 14 Pro (256 GB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-256GB-Deep-Purple/dp/B0BDHV1TZ4?ref_=ast_sto_dp&th=1&psc=1,"1,32,999",313
Apple iPhone 14 Pro (512 GB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-512GB-Deep-Purple/dp/B0BDJ8YDF6?ref_=ast_sto_dp&th=1&psc=1,"1,52,999",313
